SALSOCK,NA,NA,NA,NA,NA,NA,NA,HUNT_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHUS_B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KLWA_A,NA,NA,NA,NA
SANDLNCP,NA,NA,SHKN_A,NA,NA,GARC_A,GUKT_A,NA,KAGK_A,KAHS_B,NA,NA,NFEI_A,NOSK_A,NA,NA,SUKK_A,NA,NA,NA,NA,NA,KAGK_B,NA,NA,NA,NA,REEF_A,REEF_B,NA,NA,NA,NA,NA,NA,NA,NA,NA,SALA_A,NA,NA,NA,NA,NA,NA,NA,DALL_B,NA,HECA_A,NA,NFEI_B,NA,BOST_A,NA
SCULBUF,NA,FARA_A,NA,CALD_A,NA,GARC_A,GUKT_A,NA,NA,KAHS_B,0TZ_A,0TZ_C,NFEI_A,NOSK_A,NPAS_A,REFU_A,SUKK_A,NA,SYLB_B,NA,NA,GUKT_B,NA,KAHS_A,MOIR_A,NA,NA,NA,NA,SFEI_A,NA,BOST_B,NA,CHUS_A,GOAT_A,HETA_A,NA,NOSK_B,SALA_A,SHIN_A,SODA_A,NA,NA,TROC_A,NICH_A,SWAD_A,NA,HECA_B,NA,KLWA_A,NFEI_B,NA,NA,NA
SCULGRT,BAKE_A,FARA_A,NA,CALD_A,DUNB_A,GARC_A,GUKT_A,HUNT_A,KAGK_A,NA,0TZ_A,0TZ_C,NFEI_A,NOSK_A,NPAS_A,REFU_A,SUKK_A,SYLB_A,SYLB_B,BLAQ_A,DALL_A,GUKT_B,KAGK_B,KAHS_A,MOIR_A,NA,NA,REEF_A,NA,SFEI_A,NA,BOST_B,CHUS_B,NA,GOAT_A,NA,0UK_A,NOSK_B,SALA_A,SHIN_A,NA,NA,NA,NA,NICH_A,SWAD_A,NA,NA,NA,KLWA_A,NFEI_B,SWAD_B,BOST_A,NA
SCULGRU,NA,NA,NA,NA,NA,NA,GUKT_A,NA,KAGK_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCULMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NFEI_A,NA,NA,NA,NA,NA,NA,BLAQ_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCULPAD,BAKE_A,FARA_A,NA,CALD_A,NA,NA,GUKT_A,NA,NA,NA,NA,0TZ_C,NA,NA,NA,REFU_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0UK_A,NA,NA,SHIN_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCULPSTG,BAKE_A,FARA_A,NA,CALD_A,DUNB_A,GARC_A,GUKT_A,HUNT_A,KAGK_A,KAHS_B,0TZ_A,0TZ_C,NFEI_A,NOSK_A,NPAS_A,REFU_A,SUKK_A,SYLB_A,NA,BLAQ_A,DALL_A,GUKT_B,KAGK_B,KAHS_A,MOIR_A,MOIR_B,NOSK_E,REEF_A,NA,SFEI_A,NA,BOST_B,CHUS_B,CHUS_A,GOAT_A,HETA_A,0UK_A,NOSK_B,SALA_A,SHIN_A,SODA_A,NA,NICH_B,TROC_A,NICH_A,SWAD_A,NA,HECA_B,HECA_A,KLWA_A,NFEI_B,SWAD_B,NA,NA
SCULRBCK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOAT_A,NA,NA,NA,SALA_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,HECA_A,NA,NA,NA,NA,NA
SCULSAIL,NA,FARA_A,NA,NA,DUNB_A,GARC_A,GUKT_A,NA,KAGK_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,SYLB_B,BLAQ_A,NA,NA,KAGK_B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOAT_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
